qid,Lpt,P17,P20,P22,P23,P24,P21,P25,P2,P4,P3,P5,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P27,P6,P33,P48,qal12,qal9,qal10,P48,qal12,qal9,qal10,P48,qal12,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57
,João Teixeira,João Teixeira,somevalue,somevalue,somevalue,somevalue,somevalue,somevalue,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,somevalue,"Porto, Porto, Portugal",0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,somevalue,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue,somevalue,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,somevalue
,António Mendes (1),António Mendes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Baltazar Álvares,Baltazar Álvares,NULL,NULL,NULL,NULL,NULL,NULL,1560,NULL,1630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,João Nunes Tinoco,João Nunes Tinoco,NULL,Pedro Nunes Tinoco,NULL,NULL,Luís Nunes Tinoco,André Ribeiro Tinoco e Bento Tinoco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Diogo da Silveira Veloso,Diogo da Silveira Veloso,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Pedro de Azevedo Carneiro,Pedro de Azevedo Carneiro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Miguel Lescol,Miguel Lescol,Michel de Lescolles,NULL,NULL,NULL,NULL,NULL,NULL,França,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Lucas da Silva Serrão,Lucas da Silva Serrão,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1705,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,André Ribeiro Tinoco,André Ribeiro Tinoco,NULL,Pedro Nunes Tinoco,NULL,NULL,NULL,João Nunes Tinoco e Bento Tinoco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,António Simões,António Simões,NULL,NULL,NULL,NULL,NULL,NULL,1643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
